TT     PID     AT     CT   IO_D      WT     RT    TRT
6      1      1     49      0        4      0      4
7      2      1     97      0        5      0      5
8      3      3     89      0        4      0      4
44     17     31     11      0       12      0     12
101     23     45     50      0       55      4     55
109      5      7     21      9      101      0    101
151     32     76     73      0       74      0     74
184     11     16     56      5      167      0    167
243     72    183     54      0       59      4     59
277     77    192     83      0       84      0     84
331     19     36     10      0      294     16    294
359    113    278     79      0       80      0     80
374    125    305     67      0       68      0     68
397    141    350     41      0       46      4     46
427    164    400     25      0       26      0     26
475    179    447     26      0       27      0     27
488    154    382     98      0      105      6    105
503    185    461     36      0       41      4     41
536    194    475     59      0       60      0     60
547    207    518     25      0       28      2     28
548     53    129     31      5      418      0    418
612    214    537     73      0       74      0     74
637    244    619     16      0       17      0     17
663    252    637     24      0       25      0     25
724    259    653     69      0       70      0     70
744    250    634    103      0      109      5    109
764    265    669     89      0       94      4     94
786    310    749     33      0       36      2     36
851    317    765     84      0       85      0     85
871    327    788     81      0       82      0     82
889    344    842     37      0       46      8     46
920    349    851     67      0       68      0     68
971    360    880     89      0       90      0     90
1000    372    912     80      0       87      6     87
1001    397    976     17      0       24      6     24
1034    404   1001     31      0       32      0     32
1048    416   1027     13      0       20      6     20
1090    403    996     92      0       93      0     93
1110    423   1042     61      0       67      5     67
1186    446   1091     88      0       94      5     94
1188    455   1107     74      0       80      5     80
1243    474   1143     93      0       99      5     99
1285    486   1179     98      0      105      6    105
1295    494   1200     88      0       94      5     94
1297     97    228     51      9     1068      4   1068
1312    298    729     83      3      582      5    582
1360    533   1309     49      0       50      0     50
1387    531   1304     74      0       82      7     82
1452    568   1388     57      0       63      5     63
1455    556   1352     94      0      102      7    102
1482    592   1446     29      0       35      5     35
1508    599   1458     43      0       49      5     49
1517    458   1114      5      5      402      0    402
1550    606   1478     65      0       71      5     71
1559    616   1508     49      0       50      0     50
1560     57    138     54      3     1421      0   1421
1571    624   1529     40      0       41      0     41
1615    642   1575     38      0       39      0     39
1633    639   1568     63      0       64      0     64
1681    655   1609     62      0       71      8     71
1694    227    572      7      0     1121    230   1121
1703    673   1647     50      0       55      4     55
1744    697   1702     40      0       41      0     41
1783    690   1684     94      0       98      3     98
2689     73    183      9     24     2505      0   2505
2933    168    411      8      0     2521   1940   2521
2945     35     81      7      5     2863    344   2863
3406    163    398      9      0     3007    216   3007
3618    604   1472      5     17     2145      0   2145
3753    570   1390      5      0     2362    259   2362
3829    110    268     10      0     3560    167   3560
3889     48    112     24     14     3776      0   3776
4273    307    741      6      0     3531    514   3531
4446    667   1634      7      0     2811    572   2811
5083    148    369     55      1     4713      6   4713
5213    102    246     61      2     4966      0   4966
5414     71    178     12     28     5235      1   5235
5661    343    839     12      0     4821    214   4821
5676    427   1047      8      0     4628   1749   4628
5860    149    371     11      0     5488   1993   5488
5899    617   1510      5      0     4388   1475   4388
5949    598   1456     13      7     4492      1   4492
5974    634   1557      6      0     4416   1513   4416
6220    150    373      6      8     5846   1996   5846
6646    660   1620     11      0     5025    836   5025
6650    483   1175     11      0     5474   1286   5474
6665    447   1091     12     17     5573      0   5573
6739    216    543     45      8     6195      4   6195
6749    158    390     24      0     6358    298   6358
6846    361    885      8      0     5960   3095   5960
6881    370    906      8      0     5974   3109   5974
7041    336    818     12      3     6222    225   6222
7147    193    472     12      3     6674    240   6674
7230    200    490     72      3     6739      0   6739
7402    353    861      7     18     6540    483   6540
7513    495   1204      8     10     6308    287   6308
7548    204    503      7      0     7044   4218   7044
7792    339    826     12     15     6965    946   6965
7805    694   1694      6      6     6110    933   6110
7984    296    723      6      1     7260   1259   7260
8030    166    409      5      0     7620   4808   7620
8182    610   1487      5      0     6694   3896   6694
8579     12     18     18      0     8560    387   8560
8683    126    307     14      0     8375   1252   8375
8850    314    758     10      3     8091    512   8091
9030    406   1008     10      5     8021   1410   8021
9079    170    418     15      1     8660    206   8660
9170    413   1023     14      1     8146      0   8146
9259    450   1101     11      6     8157    468   8157
9275    471   1136     10      9     8138    468   8138
9437    155    387     11      7     9049    212   9049
9481    294    720     24      2     8760    194   8760
9692     70    173     19      4     9518      0   9518
9754    476   1150     14      0     8603   1346   8603
9953    376    921      8     23     9031   1237   9031
10031    581   1413     12      1     8617    480   8617
10161    540   1320     84      4     8840      8   8840
10346    171    421     10     29     9924    208   9924
10388    689   1681     16     21     8706      0   8706
10447    691   1687     19      0     8759    567   8759
10479    493   1198     15      5     9280      0   9280
10602    591   1442     15      0     9159    501   9159
10750    114    280     22      0    10469    235  10469
10881    157    388     21      0    10492    216  10492
10977    520   1266     12      0     9710   4257   9710
10995    293    715      9     32    10279      0  10279
11033    322    777      6      7    10255   4804  10255
11071    514   1244     11     27     9826   1479   9826
11126    432   1058     16      0    10067    944  10067
11138    328    789     17      0    10348    284  10348
11182    241    607     23     23    10574      0  10574
11423    637   1564     16      0     9858   1523   9858
11541    535   1311     10      8    10229   1856  10229
11545    355    864     15      2    10680    514  10680
11606    358    870     15      6    10735    523  10735
11701    229    577     20      5    11123   1515  11123
11784    442   1083     13      0    10700   2376  10700
11947    396    975     22     18    10971      0  10971
11969    646   1590      9      5    10378   2079  10378
12117    184    460     18      0    11656    193  11656
12372    286    707     17      0    11664    479  11664
12569    405   1004     11      3    11564   3315  11564
12648    663   1624      9     20    11023    558  11023
12851    602   1468      9      3    11382   3181  11382
13000    681   1664     10     10    11335   3133  11335
13015    687   1677     16      0    11337   3143  11337
13029    299    732     17      0    12296    971  12296
13069    658   1615     98      8    11453      0  11453
13190    290    710     10      3    12479   4319  12479
13639    491   1191     13     15    12447      0  12447
13730    417   1028     11     16    12701   4582  12701
14170     74    185     31      0    13984    185  13984
14192    555   1351     23      0    12840    465  12840
14281    206    513     28     21    13767      0  13767
14307    237    598     17     10    13708   1810  13708
14388      4      7     41     20    14380      0  14380
14508    453   1103     23      0    13404    481  13404
14524    456   1108     20      7    13415    486  13415
14593    475   1147     23      0    13445    472  13445
14633    571   1391     24      0    13241    263  13241
14686    466   1125     18      0    13560   2690  13560
14777    380    929     20      0    13847   3006  13847
14793    383    936     18      0    13856   3009  13856
14988     60    150     22      9    14837    844  14837
14990    359    875     25      6    14114      0  14114
14997    457   1109     21      0    13887   1372  13887
15081     61    150     20      2    14930    849  14930
15152    522   1275     56      8    13876      0  13876
15234    677   1656     17      0    13577   2809  13577
15269    530   1299     17     34    13969      8  13969
15281    140    345     26     23    14935      4  14935
15373    208    519     23      0    14853    938  14853
15445    454   1105     30     27    14339      0  14339
15468    201    495     14      8    14972   4207  14972
15495    205    508     13     10    14986   4223  14986
15639    668   1635     15     19    14003    576  14003
15651    511   1239     27      5    14411      3  14411
15654    664   1628     14     28    14025    558  14025
15754    219    552     19      5    15201    226  15201
16049     69    169     20      6    15879      0  15879
16120    505   1227     12      8    14892   4233  14892
16140    510   1235     24      0    14904   1473  14904
16184    492   1195     20      5    14988      0  14988
16218     98    228     19      8    15989    420  15989
16235    262    664     22      8    15570      0  15570
16325    439   1076     21      0    15248    951  15248
16578    628   1538     16     22    15039   1512  15039
16616    348    850     26      0    15765    484  15765
16675    513   1241     45      5    15433      4  15433
16702    549   1340     23      9    15361    456  15361
16877    435   1067     17      3    15809   2372  15809
16889    441   1082     21      0    15806   2372  15806
16966    415   1026     22     20    15939      2  15939
17064    605   1476     28     19    15587      0  15587
17373    115    281     30      0    17091    239  17091
17657    608   1482     36     27    16174      0  16174
17933    210    524     18      6    17408   4212  17408
18006    638   1567     43      6    16438      3  16438
18048    226    570     26     27    17477    228  17477
18167    490   1187     16     26    16979   3833  16979
18214     90    214     21      7    17999    647  17999
18336    178    442     23      0    17893   4790  17893
18413      7      9     23     37    18403     14  18403
18415    256    641     13     25    17773   4655  17773
18420     99    233     20      1    18186   5079  18186
18433     63    152     26      0    18280    121  18280
18508    497   1207     26      7    17300    299  17300
18576    279    697     21     11    17878    455  17878
18807    143    355     28      0    18451   2513  18451
18875    593   1448     31     29    17426      5  17426
18918    619   1514     22      6    17403   1476  17403
19115    550   1342     21     17    17772    464  17772
19118    557   1355     22      9    17762    470  17762
19122    541   1322     27      0    17799   1951  17799
19247    431   1057     21      8    18189   2367  18189
19307    273    683     25      4    18623    454  18623
19352    468   1134     21     14    18217   2420  18217
19474    134    330     29      2    19143   1103  19143
19539    460   1116     21      6    18422   2697  18422
19618     33     76     43      9    19541    231  19541
19743    387    949     18     34    18793   3100  18793
19781    271    682     26      0    19098   3436  19098
19788    107    259     25      8    19528    932  19528
19828    425   1044     28     16    18783      0  18783
19843    478   1158     32      0    18684   1359  18684
20032    669   1640     25      0    18391   2810  18391
20208    597   1453     22      8    18754   3176  18754
20220     64    157     47      7    20062      4  20062
20244    212    532     21      1    19711   4159  19711
20317    618   1512     28     10    18804      4  18804
20334    683   1671     25      0    18662   3134  18662
20411    524   1280     30      2    19130    477  19130
20575    393    967     23      9    19607    986  19607
20589    394    968     23     25    19620    990  19620
20656    283    702     17     35    19953   4495  19953
20689    189    467     27      8    20221   2193  20221
20701    251    637     29      0    20063   2056  20063
20725    100    238     27      0    20486   5079  20486
21008    261    659     22     29    20348   1333  20348
21035    159    391     21     16    20643    306  20643
21048     80    196     34      0    20851    388  20851
21157    119    290     34      0    20866   1236  20866
21165    120    293     30      5    20871   1238  20871
21179    607   1481     27      6    19697   1492  19697
21259    635   1561     32      0    19697   1521  19697
21261     87    206     46      4    21054      0  21054
21268    129    315     25      3    20952   2787  20952
21663    448   1096     23     32    20566   2503  20566
21741    473   1141     28     16    20599    473  20599
21869    577   1404     38      0    20464    459  20464
21963    371    909     27      7    21053   3111  21053
21977    384    939     26      8    21037   3101  21037
22035    240    607     33     23    21427      5  21427
22191     27     62     34     10    22128     56  22128
22207    334    811     29     17    21395    222  21395
22232    228    572     36      2    21659    235  21659
22373    562   1372     32      3    21000   1191  21000
22385    527   1290     40     22    21094      8  21094
